"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202590","MNET215","MATS. AND PROCESSES FOR TECH.","101","94830","R","6:00 PM - 10:05 PM","GITC 2311","Open","20","14","Orlos, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94830",""
"202590","MNET215","MATS. AND PROCESSES FOR TECH.","103","94831","F","6:00 PM - 10:05 PM","GITC 2311","Open","20","16","Das, Amit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94831",""
"202590","MNET300","CONCEPTS IN MACHINING","001","94832","MW","8:30 AM - 10:35 AM","GITC 2311","Closed","15","15","Edlefsen, Blaine","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94832","This course meets in the Makerspace."
"202590","MNET303","ADV TECH IN CAD/CAM","101","94833","M","6:00 PM - 10:05 PM","GITC 2302","Closed","20","20","Dyer, ShaQueel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94833",""
"202590","MNET315","INDUSTRIAL STATISTICS","001","94834","R","8:30 AM - 10:35 AM","KUPF 211","Open","25","24","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94834",""
"202590","MNET315","INDUSTRIAL STATISTICS","001","94834","T","8:30 AM - 10:35 AM","KUPF 107","Open","25","24","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94834",""
"202590","MNET315","INDUSTRIAL STATISTICS","101","94835","T","6:00 PM - 10:05 PM","KUPF 108","Closed","25","25","May, Edwin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94835",""
"202590","MNET414","INDUSTRIAL COST ANALYSIS","001","94836","TR","2:30 PM - 3:50 PM","CKB 310","Open","30","25","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94836",""
"202590","MNET414","INDUSTRIAL COST ANALYSIS","101","94837","W","6:00 PM - 8:50 PM","GITC 1400","Open","30","24","Zeiner, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94837",""
"202590","MNET414","INDUSTRIAL COST ANALYSIS","103","94838","R","6:00 PM - 8:50 PM","CKB 212","Open","30","28","Zeiner, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94838",""
"202590","MNET414","INDUSTRIAL COST ANALYSIS","105","94839","F","6:00 PM - 8:50 PM","CKB 330","Open","30","5","Dyer, ShaQueel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94839",""
"202590","MNET420","QUALITY SYSTEMS","101","94840","M","6:00 PM - 10:05 PM","CKB 214","Open","25","13","May, Edwin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=94840",""
"202590","MNET491","SPECIAL PROJECTS","349","96674","","TBA"," ","Open","19","0","","","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96674","See department for permission to enroll."
"202590","MNET492","SPECIAL PROJECTS","349","96676","","TBA"," ","Open","19","0","","","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96676","See department for permission to enroll."
"202590","MNET493","SPECIAL PROJECTS","349","96675","","TBA"," ","Open","19","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96675","See department for permission to enroll."
"202590","MNET495","COOPERATIVE EXPERIEN II","349","96659","","TBA"," ","Open","19","0","Lieber, Samuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2025 Fall&crn-1=96659","See department for permission to enroll."
